user_name,user_id,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
thetrapbaddie,6.807785941366687e+18,6.904405305136811e+18,Comment if youd like to see how i clean my brushes 🧼 #nails #nailtoturial #cleopatra #fyp #foryou #fy #naila #nailsupply #nailartistkim #naila #nail,1607557153.0,59.0,https://www.tiktok.com/@thetrapbaddie/video/6904405305136811270?lang=en,3758.0,5.0,9.0,24100.0
thetrapbaddie,6.807785941366687e+18,6.904109316853353e+18,S/O to my boo for letting me practice on him 💖 Stickers & rhinestones available on my website! #nails #nailtutorial #nail #fyp #foryou #fy,1607488267.0,9.0,https://www.tiktok.com/@thetrapbaddie/video/6904109316853353734?lang=en,2148.0,5.0,7.0,43200.0
thetrapbaddie,6.807785941366687e+18,6.904027227101449e+18,My client created this tiktok 💕 Go check out her page stoners!! @stonercosmetics #nailtutorial #nails #nail #nailthoughts #fyp #foryou #fy #small,1607469137.0,20.0,https://www.tiktok.com/@thetrapbaddie/video/6904027227101449477?lang=en,221.0,1.0,0.0,1795.0
thetrapbaddie,6.807785941366687e+18,6.904024258947616e+18,"Dm to book your appointment 💅🏻 Stickers from my website, use code TT for $ off ✨ #nails #nailtutorial #nail #fyp #foryou #foryoupage #nailthoughts",1607468447.0,15.0,https://www.tiktok.com/@thetrapbaddie/video/6904024258947616005?lang=en,519.0,5.0,1.0,3428.0
thetrapbaddie,6.807785941366687e+18,6.903985525028392e+18,Dm me to book your appointment 💖 #nails #nailtutorial #frenchtip #fyp #foryou #foryoupage #nail #nailthoughts #nailsupplies #nailartistkim #fypシ #fy,1607459434.0,20.0,https://www.tiktok.com/@thetrapbaddie/video/6903985525028392198?lang=en,671.0,2.0,1.0,4611.0
thetrapbaddie,6.807785941366687e+18,6.903979620161441e+18,I told him to get me a practice hand 🤷🏻‍♀️ Comment for final results! 💕#nails #nailtutorial #fyp #foryou #nail #nailsupply #nailartistkim #xxl,1607458062.0,13.0,https://www.tiktok.com/@thetrapbaddie/video/6903979620161441030?lang=en,1233.0,1.0,5.0,13700.0
thetrapbaddie,6.807785941366687e+18,6.90366172653796e+18,Go shop for your nail accessories 💕 Link in bio. Use code TT for $ off!! #nailtutorial #nails #organize #nail #fyp #foryou #nailartist48 #nailsupply,1607384036.0,17.0,https://www.tiktok.com/@thetrapbaddie/video/6903661726537960709?lang=en,4772.0,8.0,34.0,20300.0
thetrapbaddie,6.807785941366687e+18,6.901063408276213e+18,Dm my insta to book with me 💙 @jnailedyou #nails #nailtutorial #nailsartvideos #nailthoughts #fyp #fy #fypシ #nail,1606779056.0,19.0,https://www.tiktok.com/@thetrapbaddie/video/6901063408276212998?lang=en,20300.0,64.0,46.0,156700.0
thetrapbaddie,6.807785941366687e+18,6.896927184384953e+18,"My first time doing an acrylic pedi, howd i do? 🥰 All items on my etsy are on sale! #fyp #nails #nailtutorial #acrylicnails #nail",1605816036.0,8.0,https://www.tiktok.com/@thetrapbaddie/video/6896927184384953605?lang=en,68000.0,389.0,141.0,3800000.0
thetrapbaddie,6.807785941366687e+18,6.896628719717322e+18,"Press on nails 💅🏻 starting at $15 💖 All items on my etsy are on sale, link in bio#foryoupage #nails #nail #fyp #nailtutorial #fypシ #nailsartvideos",1605746536.0,20.0,https://www.tiktok.com/@thetrapbaddie/video/6896628719717321990?lang=en,729.0,2.0,7.0,7123.0
thetrapbaddie,6.807785941366687e+18,6.893654762995109e+18,My first packaging video lol I swear my next one gone be better!! #fypシ #nails #nailsupply #fyp #nailtutorial Shoutout to ERICKA!!,1605054107.0,53.0,https://www.tiktok.com/@thetrapbaddie/video/6893654762995109126?lang=en,12600.0,20.0,89.0,61200.0
thetrapbaddie,6.807785941366687e+18,6.888383214734429e+18,Doing your dominant hand with your non dominant hand is so hard!! #nails #nail #nailtutorial #nailsartvideos #nailsupply #nailart #nailartistkim,1603826739.0,17.0,https://www.tiktok.com/@thetrapbaddie/video/6888383214734429445?lang=en,772.0,0.0,6.0,7939.0
thetrapbaddie,6.807785941366687e+18,6.886646280337034e+18,packing a fake order ☺️☺️ #fyp #SFXMakeup #tiktok #nailsupply #nailtutorial #nailstuff,1603422329.0,10.0,https://www.tiktok.com/@thetrapbaddie/video/6886646280337034502?lang=en,1005.0,1.0,10.0,8742.0
thetrapbaddie,6.807785941366687e+18,6.878087045663772e+18,#jnailedyou #nails #nailtutorial #nailartistkim #nailthoughts,1601429466.0,20.0,https://www.tiktok.com/@thetrapbaddie/video/6878087045663771910?lang=en,680.0,2.0,6.0,5032.0
thetrapbaddie,6.807785941366687e+18,6.878085402339692e+18,LOS ANGELES CA 📍 #nail #nailart #nailsupply #nails #nailsticker #nailtutorial #nailsupply #nailartistkim #nailthoughts,1601429082.0,15.0,https://www.tiktok.com/@thetrapbaddie/video/6878085402339691782?lang=en,1393.0,4.0,18.0,12900.0
thetrapbaddie,6.807785941366687e+18,6.877743630598082e+18,Available for purchase 💕 Dm me for prices 💕 #nails #nailtutorial #nailsupply #nailart #OriginalMusic #ToMyBestFriend #fyp #ToMyBestFriend,1601349516.0,6.0,https://www.tiktok.com/@thetrapbaddie/video/6877743630598081798?lang=en,6985.0,15.0,47.0,67200.0
thetrapbaddie,6.807785941366687e+18,6.875542169239703e+18,set starting at 50+ xxl #fyp #HelloFall #nails #nailtutorial #nailsupply ￼,1600836989.0,16.0,https://www.tiktok.com/@thetrapbaddie/video/6875542169239702789?lang=en,20500.0,54.0,31.0,109200.0
itsnastynaz,6.545660774398825e+18,6.932563567501774e+18,Just Doing My Job 👀 #foryou #customersbelike,1614113248.0,19.0,https://www.tiktok.com/@itsnastynaz/video/6932563567501774085?lang=en,20900.0,11.0,182.0,101200.0
itsnastynaz,6.545660774398825e+18,6.932526093903695e+18,What Would You Do ? Keep It 🥺 Or Give It Back ? 😍 Glad He Was Honest ! Till His Prize Arrived 😊🎁,1614104524.0,34.0,https://www.tiktok.com/@itsnastynaz/video/6932526093903695109?lang=en,27700.0,45.0,416.0,151400.0
itsnastynaz,6.545660774398825e+18,6.932491148527242e+18,Did I Handle This Right ? 👀,1614096389.0,10.0,https://www.tiktok.com/@itsnastynaz/video/6932491148527242501?lang=en,67800.0,53.0,656.0,902000.0
